accession,name,monoisotopic_mass,formula
HMDB0283694,"PS(18:3(9,11,15)-OH(13)/24:0)",885.609499656,C48H88NO11P
HMDB0283695,PS(24:0/PGE1),945.630629024,C50H92NO13P
HMDB0283696,PS(PGE1/24:0),945.630629024,C50H92NO13P
HMDB0283697,PS(24:0/PGD1),945.630629024,C50H92NO13P
HMDB0283698,PS(PGD1/24:0),945.630629024,C50H92NO13P
HMDB0283699,PS(24:0/PGF1alpha),947.646279089,C50H94NO13P
HMDB0283700,PS(PGF1alpha/24:0),947.646279089,C50H94NO13P
HMDB0283701,"PS(24:0/20:3(6,8,11)-OH(5))",913.640799784,C50H92NO11P
HMDB0283702,"PS(20:3(6,8,11)-OH(5)/24:0)",913.640799784,C50H92NO11P
HMDB0283703,"PE(PGE1/20:5(5Z,8Z,11Z,14Z,17Z))",835.499949205,C45H74NO11P
HMDB0283704,"PE(20:5(5Z,8Z,11Z,14Z,17Z)/PGD1)",835.499949205,C45H74NO11P
HMDB0283705,"PE(PGD1/20:5(5Z,8Z,11Z,14Z,17Z))",835.499949205,C45H74NO11P
HMDB0283706,"PE(20:5(5Z,8Z,11Z,14Z,17Z)/PGF1alpha)",837.515599269,C45H76NO11P
HMDB0283707,"PE(PGF1alpha/20:5(5Z,8Z,11Z,14Z,17Z))",837.515599269,C45H76NO11P
HMDB0283708,"PE(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(6,8,11)-OH(5))",803.510119965,C45H74NO9P
HMDB0283709,"PE(20:3(6,8,11)-OH(5)/20:5(5Z,8Z,11Z,14Z,17Z))",803.510119965,C45H74NO9P
HMDB0283710,"PE(22:0/20:3(5Z,8Z,11Z)-O(14R,15S))",839.604020351,C47H86NO9P
HMDB0283711,"PE(20:3(5Z,8Z,11Z)-O(14R,15S)/22:0)",839.604020351,C47H86NO9P
